rank,country,region,environmental_score,socioeconomic_score,governance_score,lcdi
50.0,Seychelles,African Group,0.8391028989514984,0.802,1.0,0.8453014494757491
51.0,Peru,GRULAC,0.870763272132479,0.762,0.9826086956521739,0.8439577230227612
52.0,Gabon,African Group,0.9411413988911159,0.693,0.8956521739130434,0.8424022211846883
53.0,Bahamas,GRULAC,0.8274386048252418,0.82,0.9652173913043478,0.8418714763256644
54.0,Qatar,Asia-Pacific Group,0.7925979692227422,0.875,0.9304347826086956,0.8407283324374581
55.0,Brazil,GRULAC,0.8659893035402648,0.76,0.9652173913043478,0.838646825683176
56.0,Bhutan,Asia-Pacific Group,0.9291774342399634,0.681,0.9478260869565217,0.838441977989547
57.0,Antigua and Barbuda,GRULAC,0.8101564006827391,0.826,0.9826086956521739,0.8376542872978913
58.0,Argentina,GRULAC,0.7968671772138227,0.849,0.9652173913043478,0.8374607625199548
59.0,Bulgaria,Eastern European Group,0.8376568405026047,0.799,0.9478260869565217,0.8369316811208677
60.0,Trinidad and Tobago,GRULAC,0.8219649736665932,0.814,0.9652173913043478,0.83688466074634
61.0,Grenada,GRULAC,0.8373856804761635,0.793,0.9652173913043478,0.8367200141511253
62.0,Colombia,GRULAC,0.867479910096979,0.758,0.9478260869565217,0.8364682159180548
63.0,Paraguay,GRULAC,0.8825732794827001,0.731,0.9652173913043478,0.8360638136543936
64.0,Andorra,WEOG,0.8402096561507982,0.884,0.6695652173913043,0.8353004802493121
65.0,Kuwait,Asia-Pacific Group,0.7929657605276529,0.847,0.9652173913043478,0.8347600541768699
66.0,Malaysia,Asia-Pacific Group,0.8226027520858066,0.807,0.9652173913043478,0.8345785499559468
67.0,Mauritius,African Group,0.8192276072199044,0.796,1.0,0.8331138036099521
68.0,Ecuador,GRULAC,0.8463951280741941,0.765,0.9826086956521739,0.8328986509936188
69.0,Palau,Asia-Pacific Group,0.8473202797861141,0.797,0.8782608695652174,0.8323177485887092
70.0,Thailand,Asia-Pacific Group,0.8206927284123537,0.803,0.9652173913043478,0.8321235381192205
71.0,Barbados,GRULAC,0.8120829284961967,0.809,0.9652173913043478,0.8300686381611418
72.0,Guyana,GRULAC,0.862295266388279,0.742,0.9652173913043478,0.830049807107183
73.0,Bosnia and Herzegovina,Eastern European Group,0.8598019489462934,0.779,0.8608695652173912,0.8296346701253207
74.0,Saudi Arabia,Asia-Pacific Group,0.7609230892060558,0.875,0.9652173913043478,0.8292387185160714
75.0,Fiji,Asia-Pacific Group,0.8652345165106758,0.729,0.9826086956521739,0.8288183452118597
76.0,Serbia,Eastern European Group,0.8391385606428404,0.805,0.8434782608695652,0.8268790629301159
77.0,Cuba,GRULAC,0.8387877444006809,0.764,0.9652173913043478,0.826546046113384
78.0,Armenia,Eastern European Group,0.8140707256874542,0.786,0.9826086956521739,0.8246114498002489
79.0,Oman,Asia-Pacific Group,0.7943182525809641,0.819,0.9478260869565217,0.8227623871600472
80.0,Dominica,GRULAC,0.8413800925236313,0.74,0.9826086956521739,0.8210161332183373
81.0,Belarus,Eastern European Group,0.8256588485470822,0.801,0.8608695652173912,0.820813119925715
82.0,Republic of Moldova,Eastern European Group,0.8298686257138875,0.763,0.9478260869565217,0.819537573726509
83.0,North Macedonia,Eastern European Group,0.8409203206850959,0.765,0.8956521739130434,0.8192916820816784
84.0,Brunei Darussalam,Asia-Pacific Group,0.8363785761127284,0.823,0.7391304347826086,0.8192055924041902
85.0,Marshall Islands,Asia-Pacific Group,0.8394593260047225,0.731,1.0,0.8188546630023612
86.0,Dominican Republic,GRULAC,0.838105318599099,0.766,0.8956521739130434,0.8182591810386799
87.0,Samoa,Asia-Pacific Group,0.8684758812822062,0.702,0.9652173913043478,0.8181401145541466
88.0,Mexico,GRULAC,0.7977532707871412,0.781,0.9826086956521739,0.8145777223500924
89.0,Belize,GRULAC,0.8601797964593739,0.7,0.9652173913043478,0.8132420721427305
90.0,Maldives,Asia-Pacific Group,0.8026527849079311,0.762,1.0,0.8120763924539656
91.0,Kazakhstan,Asia-Pacific Group,0.7845792743620525,0.802,0.9478260869565217,0.8115178980505916
92.0,Saint Lucia,GRULAC,0.8278260847507208,0.725,0.9826086956521739,0.8086141293318821
93.0,Botswana,African Group,0.8413467065021383,0.708,0.9652173913043478,0.8068255271641126
94.0,Venezuela (Bolivarian Republic of),GRULAC,0.84666396570557,0.699,0.9652173913043478,0.8061091567658285
95.0,Azerbaijan,Eastern European Group,0.8048844572136978,0.76,0.9478260869565217,0.8059204894764141
96.0,Suriname,GRULAC,0.8658913806616486,0.69,0.9130434782608696,0.8058261251134329
97.0,Tunisia,African Group,0.813289602497343,0.732,0.9826086956521739,0.8039708882051931
98.0,Jordan,Asia-Pacific Group,0.8101828528899048,0.736,0.9826086956521739,0.8039175134014741
99.0,Nicaragua,GRULAC,0.8689553940894706,0.669,0.9478260869565217,0.8038309579143006
100.0,Philippines,Asia-Pacific Group,0.833364603752109,0.71,0.9652173913043478,0.803584475789098
101.0,Mongolia,Asia-Pacific Group,0.8057635466468961,0.741,0.9826086956521739,0.8035828602799698
102.0,Jamaica,GRULAC,0.8397880293450466,0.706,0.9478260869565217,0.8031222755420885
103.0,Bolivia (Plurinational State of),GRULAC,0.8408717655100448,0.698,0.9652173913043478,0.802838056668066
104.0,Viet Nam,Asia-Pacific Group,0.8181109965696536,0.726,0.9652173913043478,0.8019576721978703
105.0,Guatemala,GRULAC,0.8838879951691809,0.629,0.9478260869565217,0.7962972584541558
106.0,Lao People's Democratic Republic,Asia-Pacific Group,0.8885442800326457,0.62,0.9478260869565217,0.7952504008858882
107.0,Nepal,Asia-Pacific Group,0.8976520495961162,0.601,0.9652173913043478,0.7948531987111016
108.0,Algeria,African Group,0.7842661712460689,0.745,0.9826086956521739,0.7943341725795562
109.0,Turkmenistan,Asia-Pacific Group,0.7923853927261504,0.744,0.9478260869565217,0.7936709572326405
110.0,Zambia,African Group,0.9144453625840239,0.569,0.9826086956521739,0.7934237682485337
111.0,Tonga,Asia-Pacific Group,0.8085323276705833,0.739,0.8956521739130434,0.793347685574422
112.0,Congo,African Group,0.9085041635300974,0.593,0.9304347826086956,0.7929314295911356
113.0,Honduras,GRULAC,0.8808077342575715,0.624,0.9478260869565217,0.792882127998351
114.0,Uzbekistan,Asia-Pacific Group,0.7938780422793985,0.727,0.9826086956521739,0.792390108096221
115.0,Myanmar,Asia-Pacific Group,0.885313711777387,0.608,0.9652173913043478,0.791309029801737
116.0,Ukraine,Eastern European Group,0.8038225233931658,0.734,0.9130434782608696,0.7912916964791916
117.0,Cameroon,African Group,0.9008245588970574,0.587,0.9652173913043478,0.7911894533615722
118.0,El Salvador,GRULAC,0.8385665359031129,0.674,0.9478260869565217,0.7905115288211217
119.0,Indonesia,Asia-Pacific Group,0.8044541348284462,0.713,0.9652173913043478,0.7902542413272666
120.0,Russian Federation,Eastern European Group,0.7219363241156804,0.821,0.9652173913043478,0.7894953359708837
121.0,Egypt,African Group,0.7881231062458439,0.728,0.9652173913043478,0.7877137270359655
122.0,Papua New Guinea,Asia-Pacific Group,0.903023574656654,0.568,0.9826086956521739,0.7873378742848487
123.0,Tajikistan,Asia-Pacific Group,0.8413689640297357,0.679,0.8956521739130434,0.7872660037539982
124.0,Eswatini,African Group,0.8832979077838173,0.61,0.9304347826086956,0.7867033017179956
125.0,Morocco,African Group,0.8126718501958314,0.698,0.9478260869565217,0.7865641859674809
126.0,Zimbabwe,African Group,0.9094053559460084,0.55,1.0,0.7859526779730042
127.0,Micronesia (Federated States of),Asia-Pacific Group,0.8494969887765738,0.634,0.9826086956521739,0.7853245813448086
128.0,Bangladesh,Asia-Pacific Group,0.8246754235406769,0.67,0.9652173913043478,0.784239885683382
129.0,Kenya,African Group,0.8738751753955961,0.601,0.9652173913043478,0.7829647616108415
130.0,Cabo Verde,African Group,0.8301001362542141,0.661,0.9478260869565217,0.7814033289966723
131.0,Cambodia,Asia-Pacific Group,0.875352939217033,0.6,0.9478260869565217,0.7811547304780818
132.0,Solomon Islands,Asia-Pacific Group,0.8975581034602742,0.562,0.9652173913043478,0.7801812256431806
133.0,Tuvalu,Asia-Pacific Group,0.8242608763347888,0.653,0.9826086956521739,0.7798315251239162
134.0,Uganda,African Group,0.9004211760417157,0.55,0.9826086956521739,0.7792866749773796
135.0,Equatorial Guinea,African Group,0.8517342479974314,0.65,0.8608695652173912,0.7772258196508895
136.0,Kiribati,Asia-Pacific Group,0.8454244711948093,0.628,0.9478260869565217,0.77669049646697
137.0,South Africa,African Group,0.7872703168296383,0.717,0.9130434782608696,0.7766405931974278
138.0,Vanuatu,Asia-Pacific Group,0.8457021590583879,0.614,0.9826086956521739,0.7759271664857157
139.0,Sao Tome and Principe,African Group,0.8710018603771981,0.613,0.8782608695652174,0.7751585388842512
140.0,Ghana,African Group,0.8578017222988423,0.602,0.9478260869565217,0.7731291220189864
141.0,United Republic of Tanzania,African Group,0.9089967528489048,0.532,0.9304347826086956,0.7703027242505394
142.0,Comoros,African Group,0.8592664090021325,0.586,0.9652173913043478,0.7700353784141097
143.0,Togo,African Group,0.8906718856418747,0.547,0.9478260869565217,0.7689392036905026
144.0,Nigeria,African Group,0.8806898048619916,0.548,0.9652173913043478,0.7664970763440393
145.0,Haiti,GRULAC,0.8852693859607165,0.552,0.9304347826086956,0.7659390408064453
146.0,Democratic Republic of the Congo,African Group,0.9331258081743747,0.481,0.9478260869565217,0.7654161649567527
147.0,Namibia,African Group,0.8358953202932996,0.61,0.9478260869565217,0.7651759210162151
148.0,Guinea-Bissau,African Group,0.9267793161775385,0.483,0.9478260869565217,0.7629929189583345
149.0,Rwanda,African Group,0.890372867368672,0.548,0.8956521739130434,0.7626429554234665
150.0,Côte d’Ivoire,African Group,0.8696427335583192,0.534,0.9652173913043478,0.7557235406922032
151.0,Liberia,African Group,0.9389180862487393,0.487,0.8260869565217391,0.755344912689587
152.0,Malawi,African Group,0.8847264914258293,0.508,0.9652173913043478,0.7535154196259581
153.0,Ethiopia,African Group,0.8914216381659146,0.492,0.9652173913043478,0.7508629929960008
154.0,Sudan,African Group,0.8629472950329936,0.516,0.9826086956521739,0.7477997344730186
155.0,Democratic People's Republic of Korea,Asia-Pacific Group,0.8348794542258557,0.5535262864635462,0.9652173913043478,0.7456642584498012
156.0,State of Palestine,Asia-Pacific Group,0.8042989961132808,0.716,0.6,0.7456494980566404
157.0,Mozambique,African Group,0.9068975766346692,0.461,0.9478260869565217,0.7448020491868999
158.0,Senegal,African Group,0.86006832302575,0.517,0.9652173913043478,0.7445613354259185
159.0,Turkey,Asia-Pacific Group,0.799743892262393,0.855,0.19130434782608696,0.7444099896094574
160.0,Madagascar,African Group,0.9002326655845858,0.487,0.8782608695652174,0.742523941487945
161.0,Benin,African Group,0.8614383486234152,0.504,0.9652173913043478,0.7403713482247511
162.0,Guinea,African Group,0.8815471867856366,0.471,0.9826086956521739,0.7402246803493401
163.0,Sierra Leone,African Group,0.8971435421711987,0.458,0.9478260869565217,0.7388000319551646
164.0,Gambia,African Group,0.8638534209318228,0.495,0.9652173913043478,0.7382038843789549
165.0,Lesotho,African Group,0.843424619924753,0.521,0.9478260869565217,0.7355655708319419
166.0,Pakistan,Asia-Pacific Group,0.8247246005161218,0.54,0.9652173913043478,0.7355144741711044
167.0,Mauritania,African Group,0.8240136732540454,0.54,0.9652173913043478,0.7351590105400663
168.0,United States of America,WEOG,0.5175225605173883,0.927,1.0,0.7313862802586941
169.0,Timor-Leste,Asia-Pacific Group,0.8433691554394823,0.566,0.7565217391304347,0.7284997951110455
170.0,Djibouti,African Group,0.8332072420096929,0.515,0.9478260869565217,0.7282068818744117
171.0,Burkina Faso,African Group,0.8799869978042485,0.438,0.9826086956521739,0.727069585858646
172.0,Syrian Arab Republic,Asia-Pacific Group,0.7998573052388752,0.557,0.9304347826086956,0.7251080004455246
173.0,Lebanon,Asia-Pacific Group,0.8125714557478045,0.723,0.3652173913043479,0.7230629017869458
174.0,Central African Republic,African Group,0.9127886554810505,0.387,0.9478260869565217,0.7199975886100906
175.0,Libya,African Group,0.7988520332073948,0.746,0.2782608695652174,0.7139586252993496
176.0,Kyrgyzstan,Asia-Pacific Group,0.834131385611704,0.701,0.2608695652173913,0.712549388458026
177.0,Iran (Islamic Republic of),Asia-Pacific Group,0.7530890818499671,0.78,0.3304347826086957,0.7103488887510705
178.0,Mali,African Group,0.8697744198315508,0.41,0.9652173913043478,0.7092893838288189
179.0,Niger,African Group,0.8828234391557715,0.394,0.9478260869565217,0.707639980447451
180.0,Chad,African Group,0.8727980126760131,0.394,0.9652173913043478,0.7048011802510501
181.0,Angola,African Group,0.8877052705033951,0.591,0.2608695652173913,0.6980863309038715
182.0,India,Asia-Pacific Group,0.6617798391532206,0.644,0.9826086956521739,0.695216006533132
183.0,Afghanistan,Asia-Pacific Group,0.8177813355067239,0.462,0.8260869565217391,0.6854015373185794
184.0,Somalia,African Group,0.9025787654045209,0.38,0.7043478260869565,0.68183286096313
185.0,Eritrea,African Group,0.8890959386832299,0.493,0.34782608695652173,0.6729012302111801
186.0,Iraq,Asia-Pacific Group,0.7863354434311229,0.673,0.10434782608695653,0.6585861999764311
187.0,Burundi,African Group,0.8922507027562674,0.42,0.3130434782608696,0.6427557861607424
188.0,Yemen,Asia-Pacific Group,0.8026846134537011,0.424,0.3304347826086957,0.6016466545529375
189.0,South Sudan,African Group,0.8370247884829136,0.381,0.01739130434782608,0.563561307284935
190.0,China,Asia-Pacific Group,0.05220945531539926,0.788,0.9826086956521739,0.44443081461422135
