Economy ISO3,Economy Name,Indicator ID,Indicator,Attribute 1,Attribute 2,Attribute 3,Partner,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,Aruba,YALE.EPI.MSW,Environmental Performance Index: Controlled solid waste,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
ABW,Aruba,YALE.EPI.NDA,Environmental Performance Index: Adjusted emissions growth rate for nitrous oxide,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0.83,23.36,47.27,51.5,60.73,73.45,72.57,67.16,57.27,47.21,44.88,48.68,48.68,48.68,48.68,48.68,48.68
ABW,Aruba,YALE.EPI.NOE,Environmental Performance Index: NOx exposure,-,-,-,-,59.64,59.64,59.64,59.64,59.64,59.64,59.64,59.64,59.64,60.53,56.99,59.68,59.54,61.67,61.28,56.92,59.43,59.28,60.58,61.43,60.59,57.47,55.22,57.25,56.74,56.74,56.74,56.74
ABW,Aruba,YALE.EPI.NXA,Environmental Performance Index: Adjusted emissions growth rate for nitrous oxides,-,-,-,-,42.36,42.36,42.36,42.36,42.36,39.36,34.18,42.26,48.02,52.47,56.63,76.74,82.88,92.7,91.15,88.64,84.31,64.6,40.94,18.23,6.51,0.37,12.13,12.13,12.13,12.13,12.13,12.13
ABW,Aruba,YALE.EPI.OCP,Environmental Performance Index: Ocean Plastics,-,-,-,-,59.31,59.12,58.94,58.75,58.57,58.38,58.21,58.03,57.86,57.68,57.51,57.43,57.34,57.26,57.18,57.1,57.12,57.13,57.15,57.17,57.19,56.99,56.8,56.6,56.4,56.21,56.21,56.21
ABW,Aruba,YALE.EPI.PAR,Environmental Performance Index: Protected Areas Representativeness Index,-,-,-,-,10.52,10.52,10.52,10.52,10.52,10.52,10.8,11.07,11.35,11.62,11.9,12.55,13.2,13.84,14.49,15.14,15.14,15.59,15.59,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64
ABW,Aruba,YALE.EPI.REC,Environmental Performance Index: Recycling,-,-,-,-,25.32,25.36,25.4,25.43,25.47,25.51,25.49,25.47,25.44,25.42,25.4,25.29,25.18,25.06,24.95,24.84,24.97,25.09,25.22,25.34,25.47,25.37,25.26,25.16,25.05,24.95,24.95,24.95
ABW,Aruba,YALE.EPI.SDA,Environmental Performance Index: Adjusted emissions growth rate for sulfer dioxide,-,-,-,-,29.02,29.02,29.02,29.02,29.02,45.52,72.12,72.06,71.99,71.95,66.49,69.89,74.77,75.99,85.43,100,100,100,100,100,100,100,100,100,100,100,100,100
ABW,Aruba,YALE.EPI.SOE,Environmental Performance Index: SO2 exposure,-,-,-,-,58.76,58.76,58.76,58.76,58.76,58.76,58.76,58.76,58.76,59.82,58.68,59.93,60.41,62.3,61.98,60.4,61.6,61.54,61.92,62.69,62.27,60.56,61.1,62.31,61.18,61.18,61.18,61.18
ABW,Aruba,YALE.EPI.TBG,Environmental Performance Index: Terrestrial biome protection (global weights),-,-,-,-,2.34,2.34,2.34,2.34,2.34,2.34,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76,52.76
ABW,Aruba,YALE.EPI.TBN,Environmental Performance Index: Terrestrial biome protection (national weights),-,-,-,-,2.04,2.04,2.04,2.04,2.04,2.04,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96,58.96
ABW,Aruba,YALE.EPI.TCL,Environmental Performance Index: Tree cover loss,-,-,-,-,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,24.08,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ABW,Aruba,YALE.EPI.VOE,Environmental Performance Index: VOC exposure,-,-,-,-,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,72.9,66.86,71.47,71.23,74.65,73.97,66.88,66.9,68.92,70.41,74.48,72.7,62.23,61.79,68.56,66.18,66.18,66.18,66.18
ABW,Aruba,YALE.EPI.WTL,Environmental Performance Index: Wetland loss,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12.73,12.73,12.73,12.73,5.94,12.73,12.73,12.73,12.73,100,100,100
AFG,Afghanistan,YALE.EPI.ACD,Environmental Performance Index: Acidification,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5
AFG,Afghanistan,YALE.EPI.AGR,Environmental Performance Index: Agriculture,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2
AFG,Afghanistan,YALE.EPI.AIR,Environmental Performance Index: Air Quality,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
AFG,Afghanistan,YALE.EPI.BCA,Environmental Performance Index: Adjusted emissions growth rate for black carbon,-,-,-,-,15.77,15.77,15.77,15.77,15.77,14.09,15.15,21.91,29.77,37.74,48.12,46.99,46.07,43.72,39.43,33.47,24.88,20.35,20.43,22.26,25.53,31.71,38.71,41.04,42.94,42.94,42.94,42.94
AFG,Afghanistan,YALE.EPI.BDH,Environmental Performance Index: Biodiversity & Habitat,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7
AFG,Afghanistan,YALE.EPI.BHV,Environmental Performance Index: Biodiversity Habitat Index,-,-,-,-,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9
AFG,Afghanistan,YALE.EPI.CCH,Environmental Performance Index: Climate Change,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.6
AFG,Afghanistan,YALE.EPI.CDA,Environmental Performance Index: Adjusted emissions growth rate for carbon dioxide,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.35,79.21,83.9,83.9,83.9,83.9
AFG,Afghanistan,YALE.EPI.CHA,Environmental Performance Index: Adjusted emissions growth rate for methane,-,-,-,-,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,4.78,4.8,7.34,15.11,25.37,37.33,45.01,50.15,50.15,50.15,50.15
AFG,Afghanistan,YALE.EPI.COE,Environmental Performance Index: CO exposure,-,-,-,-,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,48.16,44.93,45.99,44.08,46.35,46.56,47.3,48.81,43.52,44.9,46.52,45.27,44.63,43.49,46.65,42.74,42.74,42.74,42.74
AFG,Afghanistan,YALE.EPI.ECO,Environmental Performance Index: Ecosystem Vitality,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9
AFG,Afghanistan,YALE.EPI.ECS,Environmental Performance Index: Ecosystem Services,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8
AFG,Afghanistan,YALE.EPI.EPI,Environmental Performance Index,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6
AFG,Afghanistan,YALE.EPI.GHN,Environmental Performance Index: Projected GHG Emissions in 2050,-,-,-,-,29.31,29.31,29.31,29.31,29.31,29.31,29.31,29.31,29.31,29.31,29.31,29.31,29.31,29.31,29.31,29.31,29.31,28.73,29.02,29.84,31.66,34.74,39.37,45.1,45.27,45.27,45.27,45.27
AFG,Afghanistan,YALE.EPI.GHP,Environmental Performance Index: Greenhouse gas emissions per capita,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.86,95.45,98.41,100,100,100,100,100,100,100,100,100,100
AFG,Afghanistan,YALE.EPI.GIB,Environmental Performance Index: Greenhouse gas intensity growth rate,-,-,-,-,41.48,41.48,41.48,41.48,41.48,41.48,41.48,41.48,41.48,41.48,41.48,41.48,41.48,41.48,41.48,41.48,41.48,39.2,43.68,48.31,56.3,65.86,79.07,81.05,77.51,77.51,77.51,77.51
AFG,Afghanistan,YALE.EPI.GRL,Environmental Performance Index: Grassland loss,-,-,-,-,87.79,87.79,87.79,86.73,86.87,86.87,96.07,96.07,100,100,100,100,100,100,100,84.58,84.58,82.43,79.97,55.08,55.41,55.41,50.78,41.76,44.76,44.81,44.81,44.81
AFG,Afghanistan,YALE.EPI.H2O,Environmental Performance Index: Sanitation & Drinking Water,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1
AFG,Afghanistan,YALE.EPI.HAD,Environmental Performance Index: Household solid fuels,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0.4,0.99,1.62,2.25,2.83,3.42,4.03,4.6,5.14,5.62,6.07,6.49,6.95,7.45,7.45,7.45,7.45
AFG,Afghanistan,YALE.EPI.HLT,Environmental Performance Index: Environmental Health,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
AFG,Afghanistan,YALE.EPI.HMT,Environmental Performance Index: Heavy Metals,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AFG,Afghanistan,YALE.EPI.LCB,Environmental Performance Index: Growth rate in carbon dioxide emissions from land cover,-,-,-,-,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,80.28,91.9,100,100,100,100,100,100,100,100,100,100,100
AFG,Afghanistan,YALE.EPI.MSW,Environmental Performance Index: Controlled solid waste,-,-,-,-,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
AFG,Afghanistan,YALE.EPI.NDA,Environmental Performance Index: Adjusted emissions growth rate for nitrous oxide,-,-,-,-,31.32,31.32,31.32,31.32,31.32,31.32,31.32,31.32,31.32,31.32,31.32,31.32,31.32,31.32,31.32,31.32,31.32,25.26,20.21,16.55,21.15,27.57,37.54,55.04,63.66,63.66,63.66,63.66
AFG,Afghanistan,YALE.EPI.NOE,Environmental Performance Index: NOx exposure,-,-,-,-,45.53,45.53,45.53,45.53,45.53,45.53,45.53,45.53,45.53,46.38,42.85,42.42,43.16,44.01,43.77,42.24,42.52,42.11,42.44,41.01,40.74,39.46,38.89,39.4,37.78,37.78,37.78,37.78
AFG,Afghanistan,YALE.EPI.NXA,Environmental Performance Index: Adjusted emissions growth rate for nitrous oxides,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75,59.38,70.99,70.99,70.99,70.99
AFG,Afghanistan,YALE.EPI.OZD,Environmental Performance Index: Ozone exposure,-,-,-,-,13.64,13.75,13.57,13.08,11.95,11.56,12.57,14,13.5,13.8,14.18,15.18,12.98,12.33,14.02,16.6,17.86,17.58,17.4,18.69,17.93,16.96,15.85,18.16,18.43,18.43,18.43,18.43
AFG,Afghanistan,YALE.EPI.PAR,Environmental Performance Index: Protected Areas Representativeness Index,-,-,-,-,2.2,2.2,2.2,2.2,2.2,2.2,2.37,2.55,2.72,2.9,3.07,3.31,3.55,3.79,4.02,4.26,4.26,4.81,4.81,4.96,4.96,4.96,5.01,5.06,5.11,5.16,5.16,5.16
AFG,Afghanistan,YALE.EPI.PBD,Environmental Performance Index: Lead exposure,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,YALE.EPI.PCC,Environmental Performance Index: Climate Change Policy Objective,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.6
AFG,Afghanistan,YALE.EPI.PMD,Environmental Performance Index: PM2.5 exposure,-,-,-,-,31.89,31.93,31.78,31.69,31.62,31.82,32.28,33.44,32.96,32.96,33.3,32.82,31.78,30.3,28.64,26.98,24.72,21.82,19.09,17.23,16.66,17.2,17.64,17.2,15.96,15.96,15.96,15.96
AFG,Afghanistan,YALE.EPI.REC,Environmental Performance Index: Recycling,-,-,-,-,6.18,6.11,6.05,5.98,5.92,5.85,6.23,6.62,7,7.39,7.77,8.17,8.57,8.97,9.37,9.77,9.95,10.13,10.3,10.48,10.66,10.75,10.84,10.93,11.02,11.11,11.11,11.11
AFG,Afghanistan,YALE.EPI.SDA,Environmental Performance Index: Adjusted emissions growth rate for sulfer dioxide,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,YALE.EPI.SHI,Environmental Performance Index: Species Habitat Index,-,-,-,-,100,100,100,100,100,100,100,98.51,97.03,95.54,94.8,94.35,93.16,92.27,91.83,91.53,90.79,90.64,90.64,90.79,90.79,90.79,90.79,90.79,90.79,90.79,90.79,90.79
AFG,Afghanistan,YALE.EPI.SNM,Environmental Performance Index: Sustainable Nitrogen Management Index,-,-,-,-,44.02,44.94,46.93,47.41,45.03,46.94,46.02,49.76,49.37,46.14,50.09,46.99,51.97,53.08,55.38,55.2,45.93,39.66,49.65,52.47,50.97,50.97,50.97,50.97,50.97,50.97,50.97,50.97
AFG,Afghanistan,YALE.EPI.SOE,Environmental Performance Index: SO2 exposure,-,-,-,-,72.83,72.83,72.83,72.83,72.83,72.83,72.83,72.83,72.83,71.54,70.92,69.45,68.3,66.84,66.82,65.54,64.96,64.66,63.91,63.38,63.18,61.39,61.54,61.32,61.16,61.16,61.16,61.16
AFG,Afghanistan,YALE.EPI.SPI,Environmental Performance Index: Species Protection Index,-,-,-,-,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,5.13,5.13,5.13,8.24,13.38,13.38,13.38
AFG,Afghanistan,YALE.EPI.SPU,Environmental Performance Index: Sustainable Pesticide Use,-,-,-,-,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33,37.33
AFG,Afghanistan,YALE.EPI.TBG,Environmental Performance Index: Terrestrial biome protection (global weights),-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,1.14,1.14,1.14,1.14,1.14,1.14,24.88,24.88,24.88,35.39,51.53,51.53
AFG,Afghanistan,YALE.EPI.TBN,Environmental Performance Index: Terrestrial biome protection (national weights),-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0.55,0.55,0.55,0.55,0.55,9.77,9.77,9.77,13.92,20.61,20.61
AFG,Afghanistan,YALE.EPI.TCL,Environmental Performance Index: Tree cover loss,-,-,-,-,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,32.74,34.09,35.58,37.6,38.2,42.33,45.24,47.68,52.09,64.59,84.57,68.21,64.37,58.32,58.32,58.32
AFG,Afghanistan,YALE.EPI.USD,Environmental Performance Index: Unsafe sanitation,-,-,-,-,13.87,14.16,13.23,12.55,12.08,11.98,12.26,13.03,12.38,12.76,13.75,15,16.46,18.15,19.78,20.96,22.17,23.3,23.75,24.43,25.16,25.65,25.94,27.58,28.44,28.44,28.44,28.44
AFG,Afghanistan,YALE.EPI.UWD,Environmental Performance Index: Unsafe drinking water,-,-,-,-,14.16,14.44,13.5,12.81,12.32,12.21,12.48,13.24,12.56,12.91,13.88,15.11,16.56,18.24,19.83,20.96,22.11,23.17,23.54,24.13,24.74,25.18,25.42,27.01,27.83,27.83,27.83,27.83
AFG,Afghanistan,YALE.EPI.VOE,Environmental Performance Index: VOC exposure,-,-,-,-,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,41.72,40.17,41.11,38.53,39.16,39.06,38.85,37.88,37.9,36.82,36.88,35.95,40.01,38.64,39.06,37.45,37.45,37.45,37.45
AFG,Afghanistan,YALE.EPI.WMG,Environmental Performance Index: Waste Management,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
AFG,Afghanistan,YALE.EPI.WRS,Environmental Performance Index: Water Resources,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AFG,Afghanistan,YALE.EPI.WTL,Environmental Performance Index: Wetland loss,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AFG,Afghanistan,YALE.EPI.WWT,Environmental Performance Index: Wastewater treatment,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,YALE.EPI.ACD,Environmental Performance Index: Acidification,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5
AGO,Angola,YALE.EPI.AGR,Environmental Performance Index: Agriculture,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9
AGO,Angola,YALE.EPI.AIR,Environmental Performance Index: Air Quality,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1
AGO,Angola,YALE.EPI.BCA,Environmental Performance Index: Adjusted emissions growth rate for black carbon,-,-,-,-,53.76,53.76,53.76,53.76,53.76,58.33,59.98,59.12,58.16,56.55,56.47,47.73,36.49,25.46,13.62,6.9,4.4,4.31,1.52,4.64,14.77,22.2,35.38,44.73,51.81,51.81,51.81,51.81
AGO,Angola,YALE.EPI.BDH,Environmental Performance Index: Biodiversity & Habitat,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1
AGO,Angola,YALE.EPI.BHV,Environmental Performance Index: Biodiversity Habitat Index,-,-,-,-,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48,61.48
AGO,Angola,YALE.EPI.CCH,Environmental Performance Index: Climate Change,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7
AGO,Angola,YALE.EPI.CDA,Environmental Performance Index: Adjusted emissions growth rate for carbon dioxide,-,-,-,-,2.13,2.13,2.13,2.13,2.13,8,16.02,25.39,32.52,59.58,61.01,51.09,50.03,45.79,36.7,28.4,21.25,14.44,7.23,0,0,4.81,13.99,26.83,38.98,38.98,38.98,38.98
AGO,Angola,YALE.EPI.CHA,Environmental Performance Index: Adjusted emissions growth rate for methane,-,-,-,-,0,0,0,0,0,0,0,3.52,28.69,36.38,40.93,49.55,57.99,58.67,60.42,54.9,56.23,57.02,54.44,48.35,38.76,39.35,41.56,45.62,49.66,49.66,49.66,49.66
AGO,Angola,YALE.EPI.COE,Environmental Performance Index: CO exposure,-,-,-,-,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.31,21.05,23.42,21.29,22.48,25.71,22.91,21.1,27.33,26.52,30.98,25.04,25.72,33.2,34.42,30.31,30.31,30.31,30.31
AGO,Angola,YALE.EPI.ECO,Environmental Performance Index: Ecosystem Vitality,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6
AGO,Angola,YALE.EPI.ECS,Environmental Performance Index: Ecosystem Services,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
AGO,Angola,YALE.EPI.EPI,Environmental Performance Index,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5
AGO,Angola,YALE.EPI.FGA,Environmental Performance Index: Adjusted emissions growth rate for F-gases,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,32.73,47.84,49.67,53.96,56.47,57.28,57.75,57.75,57.75,57.75
AGO,Angola,YALE.EPI.FSH,Environmental Performance Index: Fisheries,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3
AGO,Angola,YALE.EPI.FSS,Environmental Performance Index: Fish Stock Status,-,-,-,-,27.87,20.72,25.48,30.71,32.96,35.84,40.47,45.61,50.19,51.35,59.91,63.84,60.9,51.96,47.49,46.82,43.45,42.05,42.76,40.48,40.92,39.02,43.95,43.87,43.87,43.87,43.87,43.87
AGO,Angola,YALE.EPI.FTD,Environmental Performance Index: Fish caught by trawling,-,-,-,-,6.99,5.74,6.02,6.22,6.25,7.79,5.87,6.3,6.85,6.67,5.93,5.6,5.77,5.74,6.5,6.95,6.53,6.49,6.25,6.1,8.2,6.05,6.18,7.87,7.87,7.87,7.87,7.87
AGO,Angola,YALE.EPI.GHN,Environmental Performance Index: Projected GHG Emissions in 2050,-,-,-,-,17.98,17.98,17.98,17.98,17.98,18.72,20.17,22.3,24.23,25.67,26.07,28.16,29.45,29.05,28.56,26.53,26.33,25.92,24.77,21.67,21.07,21.41,22.26,24.63,26.36,26.36,26.36,26.36
AGO,Angola,YALE.EPI.GHP,Environmental Performance Index: Greenhouse gas emissions per capita,-,-,-,-,43.5,42.64,44.24,42.84,44.29,46.65,48.21,48.63,47.88,47.81,49.29,53.29,53.89,54.74,55.5,53.77,54.98,55.72,56.4,54.66,57.27,58.2,59.53,62.21,62.31,62.31,62.31,62.31
AGO,Angola,YALE.EPI.GIB,Environmental Performance Index: Greenhouse gas intensity growth rate,-,-,-,-,0,0,0,0,0,0,27.89,64.6,76.61,81.5,86.69,100,100,100,100,100,100,100,95.99,74.95,59.77,50.23,45.53,47.27,45.16,45.16,45.16,45.16
AGO,Angola,YALE.EPI.GRL,Environmental Performance Index: Grassland loss,-,-,-,-,69.58,69.58,69.58,69.82,70.1,70.1,100,100,57.38,46.73,45.64,43.75,42.07,41.18,35.92,33.74,32.98,31.14,31.58,36.54,40.05,40.85,46.53,48.8,46.13,41.73,41.73,41.73
AGO,Angola,YALE.EPI.H2O,Environmental Performance Index: Sanitation & Drinking Water,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
AGO,Angola,YALE.EPI.HAD,Environmental Performance Index: Household solid fuels,-,-,-,-,1.98,2.42,2.81,3.08,3.42,3.84,4.36,4.94,5.42,5.72,6.38,6.95,7.63,8.25,8.95,9.63,10.4,11.24,12.22,13.33,14.26,15.25,16.18,17.04,17.9,17.9,17.9,17.9
AGO,Angola,YALE.EPI.HLT,Environmental Performance Index: Environmental Health,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
AGO,Angola,YALE.EPI.HMT,Environmental Performance Index: Heavy Metals,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7
AGO,Angola,YALE.EPI.LCB,Environmental Performance Index: Growth rate in carbon dioxide emissions from land cover,-,-,-,-,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,14.66,18.54,27.49,32.02,38.28,45.7,37.89,37.89,37.89,37.89,37.89,37.89
AGO,Angola,YALE.EPI.MPA,Environmental Performance Index: Marine protected areas,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,YALE.EPI.MSW,Environmental Performance Index: Controlled solid waste,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,YALE.EPI.NDA,Environmental Performance Index: Adjusted emissions growth rate for nitrous oxide,-,-,-,-,98.85,98.85,98.85,98.85,98.85,98.08,92.87,75.97,56.32,39.09,25.97,30.71,35.1,38.74,50.66,59.33,67.07,75.49,70.55,67.36,62.27,64.14,60.42,69.94,70.36,70.36,70.36,70.36
AGO,Angola,YALE.EPI.NOE,Environmental Performance Index: NOx exposure,-,-,-,-,27.81,27.81,27.81,27.81,27.81,27.81,27.81,27.81,27.81,28.16,28.85,29.08,28.58,29.38,30.46,30.08,29.23,31.93,31.56,33.12,31.63,31.01,34.4,33.83,32.44,32.44,32.44,32.44
AGO,Angola,YALE.EPI.NXA,Environmental Performance Index: Adjusted emissions growth rate for nitrous oxides,-,-,-,-,59.07,59.07,59.07,59.07,59.07,57.92,53.96,50.73,41.14,34.98,37.51,32.84,25.77,21.79,8.7,0,0,0,0,0,0,11.3,34.45,51.54,61.88,61.88,61.88,61.88
AGO,Angola,YALE.EPI.OCP,Environmental Performance Index: Ocean Plastics,-,-,-,-,38.64,38.3,37.95,37.61,37.26,36.92,36.44,35.96,35.48,35.01,34.53,34.08,33.64,33.19,32.75,32.31,29.01,25.7,22.4,19.1,15.8,16.55,17.29,18.03,18.78,19.52,19.52,19.52
